Ordem,ID,Nome,WhatsApp,Email,UF,Cidade,Segmento,Orcamento,Prazo,Score,Status,Motivos_resumo,Motor_score,Modelo_score,Probabilidade_qualificado,Score_calculado_em
62,3793208b-c74d-4c12-9499-bbc18c3c9dd3,Andre Teixeira 0178,5562946484689,lead.demo.1771182195817.0178@exemplo.com,GO,Anapolis,CAVALOS,60k+,30d,83,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,86.7%,2026-02-15T19:03:15.582Z
63,6eec1a2a-b816-4f79-889b-978ed264a71c,Rodrigo Ribeiro 0341,5511997894993,lead.demo.1771182196016.0341@exemplo.com,SP,Sorocaba,EQUIPAMENTOS,20k-60k,90d,25,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,17.0%,2026-02-15T19:03:15.582Z
64,b31df144-8b65-49e6-9695-b973a2971a15,Larissa Freitas 0111,5511925449874,lead.demo.1771182195731.0111@exemplo.com,SP,Sao Jose dos Campos,SERVICOS,5k-20k,30d,42,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,27.6%,2026-02-15T19:03:15.582Z
65,49a218aa-c29e-4338-a801-a60babac890c,Diego Gomes 0122,5511914630556,lead.demo.1771182195746.0122@exemplo.com,SP,Campinas,EVENTOS,0-5k,30d,61,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,65.5%,2026-02-15T19:03:15.582Z
66,26dc2470-5937-4a7d-b4cd-03a3a41d7817,Diego Freitas 0402,5531919749542,lead.demo.1771182196082.0402@exemplo.com,MG,Montes Claros,EQUIPAMENTOS,5k-20k,7d,57,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,38.3%,2026-02-15T19:03:15.582Z
67,06ed5b7f-d46a-4537-9caa-e13235d908e9,Felipe Ribeiro 0250,5562915715320,lead.demo.1771182195907.0250@exemplo.com,GO,Anapolis,SERVICOS,60k+,7d,29,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,28.2%,2026-02-15T19:03:15.582Z
68,01f61f15-08bc-477a-8d5a-e457ca4f443f,Gustavo Pires 0359,5562955527749,lead.demo.1771182196037.0359@exemplo.com,GO,Anapolis,EQUIPAMENTOS,60k+,7d,41,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,11.0%,2026-02-15T19:03:15.582Z
69,7c53ac3e-08be-41a9-a47f-ec010238e549,Eduardo Teixeira 0396,5562919965654,lead.demo.1771182196076.0396@exemplo.com,GO,Rio Verde,EQUIPAMENTOS,20k-60k,7d,35,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,12.5%,2026-02-15T19:03:15.582Z
70,7f25e9c5-4596-4900-8901-3e2cca0e5e58,Gustavo Martins 0177,5562974855546,lead.demo.1771182195816.0177@exemplo.com,GO,Aparecida de Goiania,SERVICOS,5k-20k,90d,32,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,16.9%,2026-02-15T19:03:15.582Z
71,c1ce6016-460f-4f9d-9470-0874e8f8a256,Juliana Santana 0037,5511979565131,lead.demo.1771182195636.0037@exemplo.com,SP,Sorocaba,EVENTOS,0-5k,90d,21,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,24.8%,2026-02-15T19:03:15.582Z
72,c368f419-c418-4ae1-b941-cd23fad8ba42,Rafael Freitas 0318,5562933020234,lead.demo.1771182195989.0318@exemplo.com,GO,Aparecida de Goiania,EVENTOS,60k+,30d,80,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,83.2%,2026-02-15T19:03:15.582Z
73,ccbf3777-7e2e-4ac7-a014-f3e71642b8a4,Bianca Teixeira 0288,-,lead.demo.1771182195951.0288@exemplo.com,SP,Sao Jose dos Campos,CAVALOS,20k-60k,7d,20,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,21.1%,2026-02-15T19:03:15.582Z
74,64fa56ee-6d2e-41a6-b2e2-f7cc0b9cf709,Lucas Duarte 0368,5562937623035,lead.demo.1771182196046.0368@exemplo.com,GO,Aparecida de Goiania,EQUIPAMENTOS,60k+,7d,21,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,12.2%,2026-02-15T19:03:15.582Z
75,2a62a20f-f482-4ded-ace5-600a6116b313,Larissa Mendes 0443,5531991151489,lead.demo.1771182196128.0443@exemplo.com,MG,Juiz de Fora,EQUIPAMENTOS,60k+,7d,32,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,16.4%,2026-02-15T19:03:15.582Z
76,6503fa12-3d06-4a1a-8cd6-cc7ae83ead6f,Rafael Mendes 0206,5531960095345,lead.demo.1771182195854.0206@exemplo.com,MG,Juiz de Fora,EVENTOS,0-5k,30d,40,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,23.8%,2026-02-15T19:03:15.582Z
77,665a0264-3689-4e0c-bb5d-57a464ba4c59,Andre Leite 0310,-,lead.demo.1771182195979.0310@exemplo.com,MG,Juiz de Fora,EQUIPAMENTOS,20k-60k,30d,49,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,39.6%,2026-02-15T19:03:15.582Z
78,71ee8b93-44c0-4f98-8773-cee41b2fad7c,Rodrigo Barros 0097,-,lead.demo.1771182195713.0097@exemplo.com,SP,Sao Paulo,EQUIPAMENTOS,20k-60k,30d,36,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,23.9%,2026-02-15T19:03:15.582Z
79,96dd8f85-1b06-4c16-96ea-3f01479905b5,Patricia Azevedo 0285,5562943081553,lead.demo.1771182195947.0285@exemplo.com,GO,Goiania,EVENTOS,0-5k,30d,49,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,57.9%,2026-02-15T19:03:15.582Z
80,0878d505-fa75-4e18-a33c-f3fb307aed20,Juliana Almeida 0349,5562910227477,lead.demo.1771182196027.0349@exemplo.com,GO,Rio Verde,SERVICOS,5k-20k,90d,20,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,6.0%,2026-02-15T19:03:15.582Z
81,4f7ffbd5-9311-430a-a1cf-5ee53287bc79,Camila Santana 0169,5562916918962,lead.demo.1771182195803.0169@exemplo.com,GO,Anapolis,CAVALOS,0-5k,30d,22,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,22.9%,2026-02-15T19:03:15.582Z
82,fb4ff301-3376-4de0-ba91-5092921233b5,Patricia Carvalho 0061,5531974074699,lead.demo.1771182195664.0061@exemplo.com,MG,Contagem,EVENTOS,20k-60k,30d,47,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,51.3%,2026-02-15T19:03:15.582Z
83,c1d12ab6-980d-4fcd-998e-29f0f803801f,Carla Costa 0007,5531936232380,lead.demo.1771182195595.0007@exemplo.com,MG,Montes Claros,EVENTOS,60k+,7d,54,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,58.6%,2026-02-15T19:03:15.582Z
84,cfae78f6-bf45-4c87-94a5-16b00a5c7c54,Rafael Fernandes 0445,-,lead.demo.1771182196130.0445@exemplo.com,SP,Sao Jose dos Campos,SERVICOS,20k-60k,7d,67,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,62.4%,2026-02-15T19:03:15.582Z
85,22c724b4-a536-48e0-999a-9676a5f93670,Lucas Duarte 0052,5562919174995,lead.demo.1771182195656.0052@exemplo.com,GO,Rio Verde,CAVALOS,0-5k,7d,42,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,13.4%,2026-02-15T19:03:15.582Z
86,8efb6356-bf35-433f-b939-8cda1ae8cb90,Patricia Melo 0355,5531979289952,-,MG,Uberlandia,CAVALOS,0-5k,30d,28,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,7.6%,2026-02-15T19:03:15.582Z
87,e9b98dd5-d866-4b39-b12e-105eba5fab1d,Larissa Teixeira 0099,5562966432363,-,GO,Aparecida de Goiania,SERVICOS,5k-20k,30d,69,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,43.4%,2026-02-15T19:03:15.582Z
88,d33c014e-fe49-4b6f-b186-2a2823dd5f4c,Bianca Leite 0448,5562973970414,lead.demo.1771182196134.0448@exemplo.com,GO,Aparecida de Goiania,CAVALOS,5k-20k,7d,42,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,25.3%,2026-02-15T19:03:15.582Z
89,5b733cdc-df45-4e7a-9d6c-7b0d39b09402,Larissa Freitas 0286,5531924336983,lead.demo.1771182195948.0286@exemplo.com,MG,Belo Horizonte,EVENTOS,60k+,90d,69,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,52.3%,2026-02-15T19:03:15.582Z
90,68052df3-86bc-4382-85af-537132ac2ff1,Rafael Almeida 0093,5562979547195,lead.demo.1771182195709.0093@exemplo.com,GO,Goiania,EQUIPAMENTOS,60k+,30d,37,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,5.2%,2026-02-15T19:03:15.582Z
91,89fc7bae-90d3-48af-adc3-7370b589e281,Vanessa Moraes 0254,-,lead.demo.1771182195911.0254@exemplo.com,GO,Anapolis,EVENTOS,5k-20k,90d,28,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,32.8%,2026-02-15T19:03:15.582Z
92,c8dd5c6e-4bef-4a6e-bda8-8f44b7688782,Bianca Moraes 0179,5562992955898,lead.demo.1771182195819.0179@exemplo.com,GO,Rio Verde,CAVALOS,20k-60k,7d,22,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,20.1%,2026-02-15T19:03:15.582Z
93,3c0925f4-0f3c-48ff-8460-5b021d614c36,Thiago Barros 0439,5531963169063,lead.demo.1771182196124.0439@exemplo.com,MG,Montes Claros,EQUIPAMENTOS,5k-20k,7d,87,QUALIFICADO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,79.7%,2026-02-15T19:03:15.582Z
94,84deaad7-e642-4e12-9805-8b07e635774e,Eduardo Costa 0271,5531997452069,lead.demo.1771182195932.0271@exemplo.com,MG,Uberlandia,CAVALOS,0-5k,30d,30,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,26.2%,2026-02-15T19:03:15.582Z
95,d67dc399-e314-46dc-81fe-509254a5886b,Patricia Nogueira 0072,5511931002219,-,SP,Campinas,SERVICOS,60k+,90d,35,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,26.7%,2026-02-15T19:03:15.582Z
96,3f754290-cfee-4850-a66e-65436c2e1900,Gustavo Freitas 0138,5562999832936,lead.demo.1771182195766.0138@exemplo.com,GO,Jatai,EQUIPAMENTOS,5k-20k,30d,51,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,55.0%,2026-02-15T19:03:15.582Z
97,60f39d99-595d-4983-913f-6de7998ae231,Eduardo Almeida 0369,5511953383001,lead.demo.1771182196047.0369@exemplo.com,SP,Sao Jose dos Campos,EVENTOS,5k-20k,90d,38,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,32.1%,2026-02-15T19:03:15.582Z
98,25a11c94-f9a1-4fb8-ba1e-64dacec3c7ae,Renata Leite 0238,5562988478692,lead.demo.1771182195891.0238@exemplo.com,GO,Aparecida de Goiania,EQUIPAMENTOS,20k-60k,7d,49,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,52.1%,2026-02-15T19:03:15.582Z
99,0771f6c0-df44-4e5d-a6f2-2e9ab7a1ca2c,Patricia Barros 0232,5511943230299,lead.demo.1771182195883.0232@exemplo.com,SP,Sorocaba,EQUIPAMENTOS,0-5k,90d,83,QUALIFICADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,85.6%,2026-02-15T19:03:15.582Z
100,8dc9c987-cb27-46ad-b170-ace089c220d9,Carla Melo 0147,5562926282991,lead.demo.1771182195776.0147@exemplo.com,GO,Jatai,SERVICOS,60k+,30d,44,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,6.9%,2026-02-15T19:03:15.582Z
101,e6384e9b-4f93-4595-b80f-632bb3baac4a,Eduardo Almeida 0114,5562914062365,lead.demo.1771182195735.0114@exemplo.com,GO,Jatai,CAVALOS,5k-20k,7d,83,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,85.9%,2026-02-15T19:03:15.582Z
102,8f416046-f4ac-4973-9b47-9706fa3f99f7,Vanessa Rocha 0159,5531954510914,-,MG,Belo Horizonte,EVENTOS,60k+,7d,38,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,9.6%,2026-02-15T19:03:15.582Z
103,c6390291-3611-44ad-9ef9-745f36c039ce,Lucas Duarte 0201,5531981314313,lead.demo.1771182195846.0201@exemplo.com,MG,Montes Claros,CAVALOS,5k-20k,7d,79,QUALIFICADO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,85.0%,2026-02-15T19:03:15.582Z
104,2040ea93-cf87-424d-8c9a-d245d0be8cc0,Rodrigo Nogueira 0095,5511984400032,-,SP,Campinas,SERVICOS,60k+,7d,38,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,23.3%,2026-02-15T19:03:15.582Z
105,90cd12ff-a726-4a90-9b6e-b742653b5cfd,Renata Gomes 0236,5562995951290,lead.demo.1771182195889.0236@exemplo.com,GO,Goiania,EVENTOS,0-5k,7d,24,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,33.8%,2026-02-15T19:03:15.582Z
106,f99227c5-9491-40ce-8176-57a4ac039059,Mariana Rocha 0019,5531963449643,lead.demo.1771182195611.0019@exemplo.com,MG,Belo Horizonte,EQUIPAMENTOS,5k-20k,90d,65,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,38.0%,2026-02-15T19:03:15.582Z
107,92f61257-7220-468f-8620-d28415d24712,Mariana Mendes 0195,5562994927850,-,GO,Jatai,SERVICOS,20k-60k,90d,53,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,40.4%,2026-02-15T19:03:15.582Z
108,cb92c6db-e5b4-4f06-8f44-6f4b50c1534e,Bruno Ribeiro 0251,5531914451079,lead.demo.1771182195909.0251@exemplo.com,MG,Juiz de Fora,CAVALOS,60k+,90d,69,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,64.0%,2026-02-15T19:03:15.582Z
109,8ab6cc4d-ad80-4293-bb85-e6c67b47cdbf,Rodrigo Leite 0199,5511995384563,lead.demo.1771182195844.0199@exemplo.com,SP,Ribeirao Preto,EVENTOS,5k-20k,90d,43,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,14.4%,2026-02-15T19:03:15.582Z
110,a4f25e12-6bc4-4bb6-8837-e6a9889f0f19,Carla Ribeiro 0181,5511920233320,-,SP,Sao Paulo,EQUIPAMENTOS,0-5k,90d,47,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,50.2%,2026-02-15T19:03:15.582Z
111,0e386d98-d014-4075-9e39-24060cfdeb6f,Juliana Martins 0129,5511964412521,lead.demo.1771182195756.0129@exemplo.com,SP,Campinas,CAVALOS,60k+,90d,30,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,18.3%,2026-02-15T19:03:15.582Z
112,e6288a67-de9a-4bad-89d6-7e26834c19d5,Rodrigo Melo 0395,-,lead.demo.1771182196074.0395@exemplo.com,MG,Uberlandia,EQUIPAMENTOS,0-5k,30d,62,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,44.4%,2026-02-15T19:03:15.582Z
113,ad7204ca-5826-458f-ab81-53612308cbc4,Vanessa Fernandes 0274,5562949397038,lead.demo.1771182195936.0274@exemplo.com,GO,Anapolis,SERVICOS,20k-60k,90d,66,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,66.1%,2026-02-15T19:03:15.582Z
114,710fd31c-966a-457b-970b-666263711aff,Aline Melo 0209,-,-,GO,Aparecida de Goiania,CAVALOS,0-5k,30d,23,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,18.1%,2026-02-15T19:03:15.582Z
115,cd197c6c-a08f-4581-b58d-bf6d35d73c44,Mariana Teixeira 0135,5531973341472,lead.demo.1771182195762.0135@exemplo.com,MG,Montes Claros,SERVICOS,60k+,90d,47,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,36.1%,2026-02-15T19:03:15.582Z
116,f59cdce1-764f-49a8-a5bb-398520b88818,Lucas Rocha 0307,5562936729766,lead.demo.1771182195974.0307@exemplo.com,GO,Anapolis,EQUIPAMENTOS,0-5k,7d,73,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,82.6%,2026-02-15T19:03:15.582Z
117,13a7e479-f87d-4048-8f8b-1c65e4e9ddaa,Diego Rocha 0265,-,lead.demo.1771182195926.0265@exemplo.com,GO,Aparecida de Goiania,EQUIPAMENTOS,0-5k,90d,35,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,8.0%,2026-02-15T19:03:15.582Z
118,37518a79-27ad-4e13-a07d-a33c3d1dd5fa,Carla Costa 0266,5562964891199,lead.demo.1771182195927.0266@exemplo.com,GO,Jatai,EQUIPAMENTOS,20k-60k,90d,76,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,85.9%,2026-02-15T19:03:15.582Z
119,bec51d21-3d79-4423-b807-1419b3b3c01c,Mariana Melo 0144,5511994768555,lead.demo.1771182195774.0144@exemplo.com,SP,Ribeirao Preto,CAVALOS,0-5k,30d,27,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,10.0%,2026-02-15T19:03:15.582Z
120,309e730f-efa9-4ed1-ba68-a65919b086b1,Carla Melo 0103,5562970784434,lead.demo.1771182195719.0103@exemplo.com,GO,Rio Verde,SERVICOS,0-5k,30d,21,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,21.9%,2026-02-15T19:03:15.582Z
121,4dff3061-3b8c-4472-847c-6e3d2345f43e,Bruno Martins 0029,5562982791402,lead.demo.1771182195626.0029@exemplo.com,GO,Aparecida de Goiania,EVENTOS,60k+,90d,84,ENVIADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: ENVIADO,synthetic_seed,seed_generator_v1,86.8%,2026-02-15T19:03:15.582Z
122,a5596a62-93e3-4bd5-a1e9-ff2edacd137c,Mariana Rocha 0186,5531938215285,lead.demo.1771182195827.0186@exemplo.com,MG,Uberlandia,EQUIPAMENTOS,5k-20k,30d,37,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,7.8%,2026-02-15T19:03:15.582Z
123,3d360e13-9bb1-4652-8fa2-dcca398a92ee,Juliana Moraes 0108,5562982771222,-,GO,Aparecida de Goiania,EQUIPAMENTOS,5k-20k,30d,64,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,42.7%,2026-02-15T19:03:15.582Z
124,55a79d1f-231b-4df5-bfd3-b9c332f5f96b,Eduardo Teixeira 0253,5562997548989,-,GO,Anapolis,EQUIPAMENTOS,5k-20k,30d,18,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,16.9%,2026-02-15T19:03:15.582Z
125,114fb0db-bf2c-4771-9deb-0dca33a08a91,Mariana Santana 0125,5531954395131,lead.demo.1771182195752.0125@exemplo.com,MG,Uberlandia,SERVICOS,20k-60k,90d,24,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,25.1%,2026-02-15T19:03:15.582Z
126,53ffcea7-ae19-4d36-b7c2-9dc1a85da84f,Thiago Melo 0311,5562921667650,lead.demo.1771182195980.0311@exemplo.com,GO,Aparecida de Goiania,EQUIPAMENTOS,5k-20k,30d,82,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,85.4%,2026-02-15T19:03:15.582Z
127,d46a6a42-b67c-4550-9295-c426b902d30b,Mariana Fernandes 0053,5511970235819,lead.demo.1771182195656.0053@exemplo.com,SP,Ribeirao Preto,EQUIPAMENTOS,0-5k,30d,38,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,20.0%,2026-02-15T19:03:15.582Z
128,138db782-949c-4790-8f0d-76a874a22563,Rodrigo Santana 0228,5511910406357,lead.demo.1771182195879.0228@exemplo.com,SP,Sao Jose dos Campos,EQUIPAMENTOS,0-5k,90d,35,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,22.0%,2026-02-15T19:03:15.582Z
